title,abstract,authors,keywords,affiliations,month,link,journal_name,year,volume,issue
An arbitrage model of the term structure of interest rates,"A formula for the price of default-free discount bonds of all maturities is found using a Black- Scholes type of arbitrage model which is based on the assumption that a portfolio of three default-free discount bonds of distinct maturities can be managed to be a perfect substitute for any other default-free discount bond. The formula relates the price of bonds to the real rate of interest, the anticipated rate of inflation and the equilibrium prices of interest rate and inflation risks. Bond prices are shown to be the expected value of the sure nominal proceeds of the bond discounted to the present at a random discount rate. It is shown that the unbiased expectations hypothesis is in general inconsistent with this model.",['Scott F. Richard'],[],[],March,https://www.sciencedirect.com//science/article/pii/0304405X78900193,Journal of Financial Economics,1978,6,1
Anomalies in relationships between securities' yields and yield-surrogates,"A literature survey reveals consistent excess returns after public announcements of firms' earnings. If the information in publicly-announced earnings is a public good, then these results seem inconsistent with equilibrium in the securities market: public goods, being without private cost, should earn no private return. Alternative explanations of this anomaly are considered. The most likely explanation is that earnings variables proxy for omitted variables or other misspecification effects in the two-parameter model: that the measured market portfolio is not mean-variance efficient. Similar anomalies and explanations apply to other ‘yield-surrogates’, including dividend yields and Value Line ratings.",['Ray Ball'],[],[],June–September,https://www.sciencedirect.com//science/article/pii/0304405X78900260,Journal of Financial Economics,1978,6,2
Generalized two parameter asset pricing models,A series of empirically refutable generalized two parameter asset pricing models that linearly relate risk and return are identified for the power (and quadratic) utility members of the linear risk tolerance capital asset pricing models. Five possible power utility models and the mean variance model are tested to determine whether one model might provide a more accurate description of security pricing. The major empirical result is that the data do not allow us to distinguish between the models.,['Robert R. Grauer'],[],[],March,https://www.sciencedirect.com//science/article/pii/0304405X78900181,Journal of Financial Economics,1978,6,1
Market proxies and the conditional prediction of returns,"Ex post efficient proxies for the market portfolio are tested against the equal weight proxy. The equal weight proxy outperforms the others when the criterion is squared error of conditional prediction of returns. The ex post efficient proxies use maximum likelihood estimates of return. Stein estimates of return will generally be different from the maximum likelihood estimates and they necessarily correspond to market proxies which are not efficient ex post. In other words, there generally exists a better, inefficient, proxy than an ex post efficient proxy when the criterion is squared error of conditional prediction of return.",['I.G. Morgan'],[],[],December,https://www.sciencedirect.com//science/article/pii/0304405X78900119,Journal of Financial Economics,1978,6,4
Empirical tests of boundary conditions for CBOE options,"In this paper the lower boundary conditions for traded options are derived and subjected to empirical testing. Two hypotheses are formulated based on the theoretical conditions and tested on data on call options traded on the Chicago Board Options Exchange. The first hypothesis argues that the stock and options markets are well synchronized so that simultaneous closing prices are within the theoretical boundaries. The evidence in the ex post test is inconsistent with this hypothesis. The second hypothesis claims the markets to be efficient. The tests are directed toward the question whether arbitrage profits could actually have been made on the Exchange by exploiting the violations of the dominance condition. The tests, carried out as ex ante tests, indicate that positive profits could have been exploited on the average, but the magnitude of the average was small relative to the dispersion of the yields.",['Dan Galai'],[],[],June–September,https://www.sciencedirect.com//science/article/pii/0304405X78900296,Journal of Financial Economics,1978,6,2
Systematic ‘abnormal’ returns after quarterly earnings announcements,"Numerous studies observe abnormal returns after the announcement of quarterly earnings. Ball (1978) suggests those returns are not evidence of market inefficiency, but instead are due to deficiencies in the capital asset-pricing model. This paper tests whether abnormal returns are observed when steps are taken to reduce the effect of deficiencies in the capital asset-pricing model. Significant abnormal returns are observed, but do not cover the transactions costs unless one can avoid direct transactions costs (e.g., a broker). The paper also investigates whether those abnormal returns can be attributed to a deficiency in the capital asset-pricing model. The conclusion is they cannot.",['Ross L. Watts'],[],[],June–September,https://www.sciencedirect.com//science/article/pii/0304405X78900272,Journal of Financial Economics,1978,6,2
The market valuation of cash dividends,"Since early 1956 Citizens Utilities Company has had two classes of common stock which are virtually identical in all respects except dividend payout. One class pays only stock dividends, the other class pays only cash dividends, and the corporate charter requires that the dividends per share on the two classes be of equivalent value. Under an I.R.S. ruling granted to Citizens Utilities in 1955 and a ‘grandfather clause’ in the 1969 Tax Reform Act, the stock dividends are not taxable as ordinary income. (No other publicly held firm has such a ruling and, in general, the 1969 Act made stock dividends of this type taxable.) Given these circumstances, the price-dividend history of the Citizens Utilities shares provides a view of the effects of alternative payout policies which, to an exceptional degree, is free of confounding factors. Close examination of this history implies that, if anything, claims to cash dividends have commanded a slight premium in the market over claims to equal amounts (before taxes) of capital gains.",['John B. Long'],[],[],June–September,https://www.sciencedirect.com//science/article/pii/0304405X78900314,Journal of Financial Economics,1978,6,2
Valuation of general contingent claims,"The Black-Scholes equation for the price u(x,t) of a call option for a single share of common stock with dividend policy d(x,t) is 12σ2x2uxx+(rx−d(x,t))ux−ru−ut=0, 0<x, 0<t<T, with boundary conditions u(x,0)=max(0,x−E), 0≤x, u(0,t)=0, 0≤t≤T.",['Alan Gleit'],[],[],March,https://www.sciencedirect.com//science/article/pii/0304405X78900211,Journal of Financial Economics,1978,6,1
The information content of option prices and a test of market efficiency,"The Black-Scholes option pricing model, as generalized for dividend payments by Merton, is used to calculate implied variances of future stock returns. These variances are found to be better predictors of future stock return variances than those obtained from historic stock price data. A trading strategy is developed that exploits the informational content of the implied variances. The trading strategy, contrary to the efficient market hypothesis, produces abnormally high returns.","['Donald P. Chiras', 'Steven Manaster']",[],[],June–September,https://www.sciencedirect.com//science/article/pii/0304405X78900302,Journal of Financial Economics,1978,6,2
The pricing of supershares,"The new ‘supershare’ securities proposed by Hakansson (1977, 1976) are subject to the same sort of rickless-hedge combinations as are other forms of secondary securities such as stock options. In consequence, the prices of supershares must, even in the absence of distributional assumptions, obey certain pricing relationships with each other and with the underlying primary security. When the primary security is assumed in addition to follow a geometric Brownian motion process, exact supershare valuation formulae of the Black-Scholes (1973) type are obtained. The ‘hedge portfolio algebra’ of Garman (1976) is employed to make the analysis concise.",['Mark B. Garman'],[],[],March,https://www.sciencedirect.com//science/article/pii/0304405X7890017X,Journal of Financial Economics,1978,6,1
On the term structure of interest rates,"The paper presents a valuation formula for default free bonds for a certain class of tastes when the instantaneously riskfree rate of interest follows a geometric Wiener process. Properties of the resulting term structure of interest rates are studied, and an application of the analysis to the pricing of Treasury Bills is proposed.",['L.Uri Dothan'],[],[],March,https://www.sciencedirect.com//science/article/pii/0304405X7890020X,Journal of Financial Economics,1978,6,1
An application of a three-factor performance index to measure stockholder gains from merger,"This article re-examines the magnitude of stockholder gains from merger. To measure stockholder gains we employ four alternative two-factor market-industry models in combination with a matched non-merging control group. The four two-factor models are based on either the capital asset pricing model or Black's (1972) zero-beta model combined with two alternative industry factors. The four models are shown to produce generally consistent results. However, the results from a two-factor model are sometimes different from the results of a simpler one-factor model. Also, the introduction of a third factor, the non-merging control group, is shown to have a substantial impact on performance measurement.",['Terence C. Langetieg'],[],[],December,https://www.sciencedirect.com//science/article/pii/0304405X78900107,Journal of Financial Economics,1978,6,4
