Year,Cluster Id,Number of Articles
1974,1,2
1974,4,1
1974,8,1
1974,9,4
1974,10,4
1974,12,2
1974,13,1
1975,1,1
1975,4,3
1975,6,1
1975,7,1
1975,8,3
1975,9,3
1975,10,4
1976,1,1
1976,4,1
1976,8,1
1976,9,1
1976,10,10
1976,12,1
1976,13,1
1977,1,1
1977,4,2
1977,6,2
1977,8,6
1977,9,1
1977,10,16
1977,11,1
1977,12,4
1977,14,2
1977,15,1
1978,1,1
1978,6,3
1978,7,1
1978,8,3
1978,9,1
1978,10,7
1978,15,1
1979,4,1
1979,8,5
1979,9,3
1979,10,5
1979,12,1
1980,1,1
1980,4,3
1980,6,1
1980,8,3
1980,9,1
1980,10,2
1980,13,1
1980,15,2
1981,1,2
1981,8,3
1981,9,1
1981,10,11
1981,11,1
1981,12,2
1982,1,2
1982,8,5
1982,9,1
1982,10,10
1982,11,1
1982,12,2
1983,4,7
1983,5,1
1983,6,5
1983,7,2
1983,8,4
1983,9,1
1983,10,6
1983,11,2
1983,12,5
1983,13,2
1983,14,3
1983,15,3
1984,1,1
1984,4,1
1984,6,1
1984,8,1
1984,9,2
1984,10,9
1984,11,2
1984,12,2
1984,13,1
1984,14,3
1984,15,2
1985,1,3
1985,4,1
1985,6,2
1985,7,2
1985,8,6
1985,9,3
1985,10,3
1985,11,1
1985,13,1
1985,14,2
1985,15,4
1986,1,7
1986,2,2
1986,4,3
1986,6,1
1986,7,3
1986,8,1
1986,9,6
1986,10,8
1986,11,5
1986,12,5
1986,13,1
1986,15,5
1987,1,2
1987,2,2
1987,4,5
1987,6,2
1987,7,5
1987,8,6
1987,9,1
1987,10,3
1987,11,3
1987,12,3
1987,13,2
1987,15,2
1988,1,6
1988,2,2
1988,4,4
1988,6,2
1988,8,4
1988,9,2
1988,11,1
1988,12,3
1988,15,1
1989,1,2
1989,3,1
1989,4,5
1989,6,1
1989,7,4
1989,8,5
1989,9,3
1989,10,7
1989,11,6
1989,12,1
1989,13,3
1989,14,4
1989,15,5
1990,1,3
1990,4,8
1990,6,6
1990,7,2
1990,8,2
1990,9,2
1990,10,1
1990,11,3
1990,12,1
1990,13,6
1990,14,6
1990,15,5
1991,1,1
1991,4,2
1991,6,1
1991,7,1
