Year,Year_Scaled,Year_STD,Month,Keywords,Abstract,Abstract_Cleaned,Abstract Length,Keywords_Cleaned,Number of Keywords,Month_Cleaned
2020,1.2433516094596744,169.97114190294786,March,"['Capital structure', 'Corporate taxation', 'Difference-in-differences estimation', 'Natural experiments', 'Tradeoff model']","Absent theoretical guidance, empiricists have been forced to rely upon numerical comparative statics from constant tax rate models in formulating testable implications of tradeoff theory in the context of natural experiments. We fill the theoretical void by solving in closed-form a dynamic tradeoff theoretic model in which corporate taxes follow a Markov process with exogenous rate changes. We simulate ideal difference-in-differences estimations, finding that constant tax rate models offer poor guidance regarding testable implications. While constant rate models predict large symmetric responses to rate changes, our model with stochastic tax rates predicts small, asymmetric, and often statistically insignificant responses. Even with very long regimes (one decade), under plausible parameterizations, the true underlying theory—that taxes matter—is incorrectly rejected in about half the simulated natural experiments. Moreover, tax response coefficients are actually smaller in simulated economies with larger tax-induced welfare losses.",absent theoret guidance empiricist forc reli upon numer compar static constant tax rate model formul testabl implic tradeoff theori context natur experiments fill theoret void solv closedform dynam tradeoff theoret model corpor tax follow markov process exogen rate changes simul ideal differenceindiffer estimations find constant tax rate model offer poor guidanc regard testabl implications constant rate model predict larg symmetr respons rate changes model stochast tax rate predict small asymmetric often statist insignific responses even veri long regim one decade plausibl parameterizations true theorythat tax matteri incorrect reject half simul natur experiments moreover tax respons coeffici actual smaller simul economi larger taxinduc welfar losses,1047,"['capit structur', 'corpor taxat', 'difference-in-differ estim', 'natur experi', 'tradeoff model']",5,3
2020,1.2433516094596744,169.97114190294786,March,"['Credit spreads', 'LBO risk', 'Structural models', 'Leveraged buyouts']","Recent decades have witnessed several waves of buyout activity. We find leveraged buyouts (LBOs) to be a significant concern for bondholders by showing that a) intra-industry credit spreads increase upon an LBO announcement, b) yields on bonds without event risk covenants are, on average, 21 basis points higher than those on same-firm bonds with such covenants, and c) structural models calibrated to historical LBO events imply an impact of 18–21 basis points on 10-year credit spreads. The impact is strongest in expansion periods and for bonds with maturities of 10–20 years.",recent decad wit sever wave buyout activity find leverag buyout lbos signific concern bondhold show a intraindustri credit spread increas upon lbo announcement b yield bond without event risk coven are average 21 basi point higher samefirm bond covenants c structur model calibr histor lbo event impli impact 1821 basi point 10year credit spreads impact strongest expans period bond matur 1020 years,580,"['credit spread', 'lbo risk', 'structur model', 'leverag buyout']",4,3
2020,1.2433516094596744,169.97114190294786,March,"['Fire sales', 'Liquidity management', 'Mutual funds']","We develop three novel measures of the incentives of equity mutual funds to internalize the price impact of their trading. We show that mutual funds with stronger incentives to internalize their price impact accommodate inflows and outflows by adjusting their cash buffers instead of trading in portfolio securities. As a result, stocks held by these funds have lower volatility, and flows out of these funds have smaller spillover effects on other funds holding the same securities. Our results provide evidence of meaningful fire sale externalities in the equity mutual fund industry.",develop three novel measur incent equiti mutual fund intern price impact trading show mutual fund stronger incent intern price impact accommod inflow outflow adjust cash buffer instead trade portfolio securities result stock held fund lower volatility flow fund smaller spillov effect fund hold securities result provid evid meaning fire sale extern equiti mutual fund industry,586,"['fire sale', 'liquid manag', 'mutual fund']",3,3
2020,1.2433516094596744,169.97114190294786,March,"['Asset pricing', 'Leverage constraints', 'Lottery demand', 'Margin', 'Sentiment']","We test whether the low-risk effect is driven by leverage constraints and, thus, risk should be measured using beta versus behavioral effects and, thus, risk should be measured by idiosyncratic risk. Beta depends on volatility and correlation, with only volatility related to idiosyncratic risk. We introduce a new betting against correlation (BAC) factor that is particularly suited to differentiate between leverage constraints and behavioral explanations. BAC produces strong performance in the US and internationally, supporting leverage constraint theories. Similarly, we construct the new factor SMAX to isolate lottery demand, which also produces positive returns. Consistent with both leverage and lottery theories contributing to the low-risk effect, we find that BAC is related to margin debt while idiosyncratic risk factors are related to sentiment.",test whether lowrisk effect driven leverag constraint and thus risk measur use beta versus behavior effect and thus risk measur idiosyncrat risk beta depend volatil correlation onli volatil relat idiosyncrat risk introduc new bet correl bac factor particular suit differenti leverag constraint behavior explanations bac produc strong perform us internationally support leverag constraint theories similarly construct new factor smax isol lotteri demand also produc posit returns consist leverag lotteri theori contribut lowrisk effect find bac relat margin debt idiosyncrat risk factor relat sentiment,861,"['asset price', 'leverag constraint', 'lotteri demand', 'margin', 'sentiment']",5,3
2020,1.2433516094596744,169.97114190294786,March,"['Gender gap', 'Entrepreneurship', 'Angel investors', 'Bias']","We study whether early stage investors have gender biases using a proprietary data set from AngelList that allows us to observe private interactions between investors and fundraising startups. We find that male investors express less interest in female entrepreneurs compared to observably similar male entrepreneurs. In contrast, female investors express more interest in female entrepreneurs. These findings do not appear to be driven by within-gender screening/monitoring advantages or gender differences in risk preferences. Moreover, the male-led startups that male investors express interest in do not outperform the female-led startups they express interest in—they underperform. Overall, the evidence is consistent with gender biases.",studi whether earli stage investor gender bias use proprietari data set angellist allow us observ privat interact investor fundrais startups find male investor express less interest femal entrepreneur compar observ similar male entrepreneurs contrast femal investor express interest femal entrepreneurs find appear driven withingend screeningmonitor advantag gender differ risk preferences moreover malel startup male investor express interest outperform femalel startup express interest inthey underperform overall evid consist gender biases,742,"['gender gap', 'entrepreneurship', 'angel investor', 'bia']",4,3
2020,1.2433516094596744,169.97114190294786,March,"['Bank lending channel', 'Quantitative easing']","This paper investigates employment effects of the Federal Reserve’s quantitative easing policies (QE) via a bank lending channel. We find that banks with higher mortgage-backed securities holdings refinanced relatively more mortgages after the first round of QE, which increased local consumption and employment in the nontradable goods sector. In contrast, banks increased lending to firms and home purchase mortgage origination after the third round of QE, which led to a sizable increase in overall employment. Our findings are supported by new confidential loan-level data that show firms with stronger ties to affected banks increased employment and capital investment more during QE3.",paper investig employ effect feder reserv quantit eas polici qe via bank lend channel find bank higher mortgageback secur hold refinanc relat mortgag first round qe increas local consumpt employ nontrad good sector contrast bank increas lend firm home purchas mortgag origin third round qe led sizabl increas overal employment find support new confidenti loanlevel data show firm stronger tie affect bank increas employ capit invest dure qe3,690,"['bank lend channel', 'quantit eas']",2,3
2020,1.2433516094596744,169.97114190294786,March,"['JPX-Nikkei 400 index', 'Corporate governance', 'Index inclusion', 'Reputation incentives', 'Status incentives', 'Return on equity', 'Capital efficiency', 'Social norms']","After decades of de-prioritizing shareholders’ economic interests and low corporate profitability, Japan introduced the JPX-Nikkei400 in 2014. The index highlighted the country’s “best-run” companies by annually selecting the 400 most profitable of its large and liquid firms. We find that managers competed for inclusion in the index by significantly increasing return on equity (ROE), and they did so at least in part due to their reputational or status concerns. The ROE increase was predominantly driven by improvements in margins, which were in turn partially driven by cutting research and development (R&D) intensity. Our findings suggest that indexes can affect managerial behavior through reputational or status incentives.",decad depriorit sharehold econom interest low corpor profitability japan introduc jpxnikkei400 2014 index highlight countri bestrun compani annual select 400 profit larg liquid firms find manag compet inclus index signific increas return equiti roe least part due reput status concerns roe increas predomin driven improv margins turn partial driven cut research develop rd intensity find suggest index affect manageri behavior reput status incentives,732,"['jpx-nikkei 400 index', 'corpor govern', 'index inclus', 'reput incent', 'status incent', 'return on equiti', 'capit effici', 'social norm']",8,3
2020,1.2433516094596744,169.97114190294786,March,"['Left-tail risk', 'Momentum', 'Equity returns', 'Retail investors', 'Costly arbitrage', 'Investor inattention']","This paper documents a significantly negative cross-sectional relation between left-tail risk and future returns on individual stocks trading in the US and international countries. We provide a behavioral explanation to this anomaly based on the idea that investors underestimate the persistence in left-tail risk and overprice stocks with large recent losses. Thus, low returns in the left-tail of the distribution persist into the future causing left-tail return momentum. We find that the left-tail risk anomaly is stronger for stocks that are more likely to be held by retail investors, that receive less investor attention, and that are costlier to arbitrage.",paper document signific negat crosssect relat lefttail risk futur return individu stock trade us intern countries provid behavior explan anomali base idea investor underestim persist lefttail risk overpric stock larg recent losses thus low return lefttail distribut persist futur caus lefttail return momentum find lefttail risk anomali stronger stock like held retail investors receiv less investor attention costlier arbitrage,664,"['left-tail risk', 'momentum', 'equiti return', 'retail investor', 'cost arbitrag', 'investor inattent']",6,3
2020,1.2433516094596744,169.97114190294786,March,"['Structured product', 'Collateralized debt obligation', 'Tranche pricing', 'Economic determinants', 'Risk premiums']",We introduce a top-down no-arbitrage model for pricing structured products. Losses are described by Cox processes whose intensities depend on economic variables. The model provides economic insight into the impact of structured products on financial institutions’ risk exposure and systemic risk. We estimate the model using CDO data and find that spreads decrease with higher interest rates and increase with volatility and leverage. Volatility is the primary determinant of variation in tranche spreads. Leverage and interest rates are more closely associated with rare credit events. Model-implied risk premiums and the probabilities of tranche losses increase substantially during the financial crisis.,introduc topdown noarbitrag model price structur products loss describ cox process whose intens depend econom variables model provid econom insight impact structur product financi institut risk exposur system risk estim model use cdo data find spread decreas higher interest rate increas volatil leverage volatil primari determin variat tranch spreads leverag interest rate close associ rare credit events modelimpli risk premium probabl tranch loss increas substanti dure financi crisis,706,"['structur product', 'collater debt oblig', 'tranch price', 'econom determin', 'risk premium']",5,3
2020,1.2433516094596744,169.97114190294786,March,"['Time series momentum', 'Risk premium', 'Return predictability', 'Pooled regression']","Time series momentum (TSM) refers to the predictability of the past 12-month return on the next one-month return and is the focus of several recent influential studies. This paper shows that asset-by-asset time series regressions reveal little evidence of TSM, both in- and out-of-sample. While the t-statistic in a pooled regression appears large, it is not statistically reliable as it is less than the critical values of parametric and nonparametric bootstraps. From an investment perspective, the TSM strategy is profitable, but its performance is virtually the same as that of a similar strategy that is based on historical sample mean and does not require predictability. Overall, the evidence on TSM is weak, particularly for the large cross section of assets.",time seri momentum tsm refer predict past 12month return next onemonth return focus sever recent influenti studies paper show assetbyasset time seri regress reveal littl evid tsm in outofsample tstatist pool regress appear large statist reliabl less critic valu parametr nonparametr bootstraps invest perspective tsm strategi profitable perform virtual similar strategi base histor sampl mean doe requir predictability overall evid tsm weak particular larg cross section assets,767,"['time seri momentum', 'risk premium', 'return predict', 'pool regress']",4,3
