Token,Frequency,Year
initi public off,4,1993
monitor,1,1993
partial adjust,1,1993
ipo,1,1993
condit asset price model,1,1993
inequ restrict,1,1993
ex ant risk premium,1,1993
underpr,1,1993
season equiti off,1,1993
winner curs,1,1993
long-run perform,1,1993
legal liabil,1,1993
bidder return,1,1993
exchange-r mov,1,1993
volum,1,1993
market-feedback hypothesi,1,1993
stabil,1,1993
signal hypothesi,1,1993
volatil,1,1993
insid,1,1993
microstructur,3,1993
bid-ask spread,2,1993
effici,2,1993
ipo underpr,2,1993
season,1,1993
liquid premium,1,1993
autocorrel,1,1993
portfolio,1,1993
mispric,1,1993
japanes merger and acquisit,1,1993
price support,1,1993
asset pric,1,1993
option pric,1,1993
agenc cost,1,1993
warrant,1,1993
cox,1,1994
voucher,1,1994
econom reform,1,1994
cash flow,1,1994
agenc theori,1,1994
index-link bond,1,1994
privat,1,1994
ingersol,1,1994
tender off,1,1994
bank,1,1994
regul,1,1994
equiti,1,1994
g21,1,1994
treasuri auct,1,1994
inventori control,1,1994
finit sampl properti,1,1994
polit of financ,1,1994
and ross,1,1994
insur,1,1994
financi polici,1,1994
dividend,1,1994
price improv,1,1994
restruct,1,1994
ownership,1,1994
ventur capit,1,1994
initi public off,1,1994
financ strategi,1,1994
relationship invest,1,1994
bankruptci,1,1994
jel,1,1994
merger,1,1994
capit structur,1,1994
exchang off,1,1994
bid-ask spread,1,1994
inventori cost,1,1994
bank run,1,1994
currenc market,1,1994
organ,1,1994
bargain,1,1994
acquisit,1,1994
compen,1,1994
real term structur,1,1994
manageri resist,1,1994
exchang r,1,1994
chapter 11,1,1994
portfolio diversif,1,1994
intern equiti market,1,1994
poison pil,1,1994
contagion,1,1994
writedown,1,1994
disintermedi,1,1994
market micro-structur,1,1994
life insur,1,1994
junk bond,1,1994
board of director,2,1994
inform,2,1994
corpor control,2,1994
corpor govern,2,1994
leverag,2,1994
financi distress,4,1994
golden parachut,1,1994
outsid director,1,1994
return volatil,1,1994
lawsuit,2,1994
latent variabl,1,1994
financi keiretsu,1,1994
trade,1,1994
ipo,1,1994
underwrit,1,1994
intern asset pric,1,1994
segment,1,1994
capit barri,1,1994
thailand,1,1994
oper leverag,1,1994
stabil,1,1994
hedg,1,1994
effect bid-ask spread,1,1994
general method of mo,1,1994
asset pric,1,1994
equiti deviat,1,1994
bankruptci cost,1,1994
pension,1,1994
distress exchang,1,1994
compen,1,1995
takeov,1,1995
busi seg,1,1995
deregul,1,1995
inform,1,1995
pool,1,1995
foreign exchang,1,1995
purcha,1,1995
acquisit,1,1995
strategi,1,1995
director,1,1995
blockhold,1,1995
inventori,1,1995
defens industri,1,1995
intern capit market,1,1995
invest flow,1,1995
momentum,1,1995
price pressur,1,1995
leverag effect,1,1995
callabl bond,1,1995
call featur,1,1995
treasur bond,1,1995
bank,1,1995
capit asset price model,1,1995
short-sw rul,1,1995
low-pric stock,1,1995
portfolio perform,1,1995
ownership,1,1995
insid trad,1,1995
mutual fund,1,1995
compens structur,1,1995
execut compen,1,1995
market frict,1,1995
season equiti off,1,1995
relative-perform evalu,1,1995
crash,1,1995
antitakeov amend,1,1995
underpr,1,1995
underwrit compen,1,1995
self-select,1,1995
warrant,1,1995
share alloc,1,1995
taxat,1,1995
corpor govern,1,1995
employe benefit,1,1995
stock opt,1,1995
agenc,1,1995
asymmetri,1,1995
heteroskedast,1,1995
varianc,1,1995
distress workout,1,1995
debt restructur,1,1995
coercion,1,1995
data snoop,1,1995
holdout,1,1995
pay,1,1995
perform,1,1995
corpor control,1,1995
multipl stock class,1,1995
price elast of demand,1,1995
liquid,1,1995
bond opt,1,1995
multifactor model,1,1995
underperform,1,1995
garch,1,1995
growth opportun,1,1995
market depth,1,1995
discount,1,1995
takeov premia,1,1995
poison pil,1,1995
antitakeov law,1,1995
tender off,1,1995
takeov premium,1,1995
product market,1,1995
closed-end fund,1,1995
abnorm return,1,1995
lea,2,1995
microstructur,2,1995
asymmetr inform,2,1995
manag turnov,2,1995
leverag,2,1995
incent,2,1995
focus,2,1995
volatil,2,1995
select bia,2,1995
institut investor,2,1995
asset sal,2,1995
diversif,2,1995
restructur,2,1995
divestitur,3,1995
market effici,3,1995
merger,3,1995
financi distress,3,1995
capit structur,5,1995
equiti ownership,1,1995
sec,1,1995
secur analysi,1,1995
initi public off,2,1995
section 16b,1,1995
overinvest,1,1995
book-to-market,1,1995
cross-subsid,1,1995
organiz structur,1,1995
investor commun,1,1995
account,1,1995
contrarian strategi,1,1995
financi polici,1,1995
japanes corpor govern,1,1995
main bank system,1,1995
spin-off,1,1995
sell-off,1,1995
anomali,1,1995
book-to-market ratio,1,1995
match crsp and compustat,1,1995
equiti carve-out,1,1995
deriv,1,1995
inform flow,1,1995
oper perform,1,1995
trade strategi,1,1995
manageri theori of invest,1,1995
strateg interact,1,1995
trade hour,1,1995
foreign acquisit,1,1995
