Year,Keywords,Unique Keywords,Number of Keywords,Number of Unique Keywords,Keyword Tokens
1974,,,0,0,['']
1975,,,0,0,['']
1976,,,0,0,['']
1977,,,0,0,['']
1978,,,0,0,['']
1979,,,0,0,['']
1980,,,0,0,['']
1981,,,0,0,['']
1982,,,0,0,['']
1983,,,0,0,['']
1984,,,0,0,['']
1985,,,0,0,['']
1986,,,0,0,['']
1987,,,0,0,['']
1988,,,0,0,['']
1989,,,0,0,['']
1990,,,0,0,['']
1991,,,0,0,['']
1992,,,0,0,['']
