Number of Topics,Average Silhouette Score
5,0.009302460889987528
6,0.012619112977133083
7,0.014902694478720096
8,0.01340511312021078
9,0.017336153675473052
10,0.016983890266747393
11,0.009223616981503355
12,-0.00015038076743979743
13,-0.008710385193102792
14,-0.017794833689141663
15,-0.02666899576262064
16,-0.036621772384289535
17,-0.045592278764590634
18,-0.05109794529799745
19,-0.057809213441683154
20,-0.06599545887579311
21,-0.07191178973852083
22,-0.07791584040438349
23,-0.08571746154876352
24,-0.0909495838480731
25,-0.09662538562990726
26,-0.10271482774043998
27,-0.10856896217647495
28,-0.11050274698319865
29,-0.11592760251741616
30,-0.11860187942955919
